timestamp,roll_deg,pitch_deg,yaw_deg,rollspeed_dps,pitchspeed_dps,yawspeed_dps,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5,ch6,ch7,ch8,armed
2026-04-25T19:34:04.953,1.487,2.132,329.548,-0.488,12.911,1.367,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:04.954,1.487,2.132,329.548,-0.488,12.911,1.367,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.053,1.487,2.132,329.548,-0.488,12.911,1.367,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.054,2.143,2.597,329.207,-0.007,-1.771,-2.499,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.055,2.143,2.597,329.207,-0.007,-1.771,-2.499,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.153,1.671,1.505,328.961,-2.934,-3.314,1.589,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.154,1.671,1.505,328.961,-2.934,-3.314,1.589,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.252,2.502,2.014,328.938,13.674,14.694,1.705,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.253,2.502,2.014,328.938,13.674,14.694,1.705,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.353,4.079,3.856,329.347,18.925,18.939,1.508,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.354,4.079,3.856,329.347,18.925,18.939,1.508,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.453,4.516,5.196,329.342,-5.629,7.017,-4.221,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.453,4.516,5.196,329.342,-5.629,7.017,-4.221,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.553,2.711,5.033,328.518,-23.001,-8.173,-5.12,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.553,2.711,5.033,328.518,-23.001,-8.173,-5.12,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.652,0.924,4.872,329.093,-2.809,6.517,7.382,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.652,0.924,4.872,329.093,-2.809,6.517,7.382,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.753,1.963,6.413,329.459,10.056,17.706,-2.641,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.753,1.963,6.413,329.459,10.056,17.706,-2.641,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.852,1.893,6.947,328.878,-8.556,-8.494,-6.973,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.854,1.893,6.947,328.878,-8.556,-8.494,-6.973,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.952,0.477,6.478,328.682,-11.672,-2.786,-2.013,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:05.952,0.477,6.478,328.682,-11.672,-2.786,-2.013,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.051,0.477,6.478,328.682,-11.672,-2.786,-2.013,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.052,0.233,6.524,328.528,4.31,2.75,-3.85,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.052,0.233,6.524,328.528,4.31,2.75,-3.85,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.151,0.883,6.794,328.308,14.047,-2.861,1.753,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.152,0.883,6.794,328.308,14.047,-2.861,1.753,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.254,2.871,6.237,328.785,23.816,-8.482,8.013,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.254,2.871,6.237,328.785,23.816,-8.482,8.013,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.353,6.36,5.224,329.896,45.038,-9.566,13.459,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:06.353,6.36,5.224,329.896,45.038,-9.566,13.459,0,0,0,0,0,0,0,0,1
